ID	gene	Organism	Genus	Genus__colour	Source	Source__colour	Accesion/Region	Position	start	end	Strand	Class1	Class1__colour	Class2	Class2__colour	Class3	Class3__colour	Product	Similarity	completeness	distance	TCS	TCS_gene	Pfam
BGC0001501_APZ79580.1	FilB3	Fischerella sp. TAU	Fischerella	#99CC00	MIBiG	#0676BE	BGC0001501	6397..7485	6397	7485	-	Alkaloid	#FEF739					ambiguine P	100			orphan	
BGC0000668_AHI58821.1	Rieske_oxygenase	Hapalosiphon welwitschii UTEX B 1830	Hapalosiphon	#CCECFF	MIBiG	#0676BE	BGC0000668	6124..7197	6124	7197	-	Alkaloid	#FEF739	Terpene	#800080			12-epi-hapalindole C isonitrile/12-epi-hapalindole E/12-epi-fischerindole U isonitrile/fischerindole L/12-epi-fischerindole I isonitrile/welwitindolinone A isonitrile/welwitindolinone B isothiocyanate/welwitindolinone C isothiocyanate/N-methylwelwitindolinone C isothiocyanate/N-methylwelwitinsolinone C isonitrile/3-epi-welwitindolinone B isothiocyanate/3-(Z-2'-isocyanoethenyl)-indole	100			orphan	
BGC0001588_WP_004189279.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia pseudomallei 1026b	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001588	4202..5011	4202	5011	-	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001589_WP_006494985.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia cenocepacia J2315	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001589	29082..29864	29082	29864	+	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001692_WP_010845797.1	FNR_family_transcription_factor	Xenorhabdus nematophila ATCC 19061	Xenorhabdus	#FF00FF	MIBiG	#0676BE	BGC0001692	30991..31755	30991	31755	-	NRP	#2E8B57					nematophin	100			orphan	
fig|6666666.867958.peg.5598	cds5889506_5890115	Rhodococcus_HCA8f sp.	Rhodococcus	#00CC00	Chile	#FF6600	2.19	1012..1620	1012	1620	+	NRP	#2E8B57	Terpene	#800080			SF2575	6	complete	245	orphan	
BGC0000347_CAP20360.1	putative_iron-dependent_regulatory_protein	Streptococcus equi subsp. equi	Streptococcus	#FF9999	MIBiG	#0676BE	BGC0000347	1..381	1	381	+	NRP	#2E8B57					equibactin	100			orphan	
fig|56099.17.peg.5482	cds239194_241447	Lentzea sp. cc55	Lentzea	#D60093	CuatroCienegas	#66FF66	5.1	41028..43280	41028	43280	+	Polyketide	#F4A460	RiPP	#4169E1			LL-D49194Î±1 (LLD)	32	complete	1704	orphan	
BGC0000842_AGU42437.1	Orf29	Streptomyces argenteolus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000842	43246..43743	43246	43743	-	Other	#191970					carbapenem MM4550	100			orphan	
fig|6666666.540227.peg.7281	cds184921_185392	Nocardia sp. CC227C	Nocardia	#66FF66	CuatroCienegas	#66FF66	17.2	17825..18295	17825	18295	-	NRP	#2E8B57	Terpene	#800080				0	complete	1583	orphan	
BGC0001179_AHL46728.1	putative_transcriptional_regulator	Streptomyces bottropensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001179	33801..34262	33801	34262	-	Polyketide	#F4A460					rishirilide B/rishirilide A	100			orphan	
BGC0001719_AWM72922.1	MarR_family_transcriptional_regulator	Streptomyces olivaceus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001719	26890..27351	26890	27351	-	Polyketide	#F4A460					olimycin A/olimycin B	100			orphan	
fig|6666666.867962.peg.1015	cds233330_233774	Streptomyces_VB1 sp.	Streptomyces	#3333FF	Chile	#FF6600	53.1	2430..2873	2430	2873	+	Other	#191970					showdomycin	47	complete	917	orphan	
fig|6666666.737892.peg.4932	cds20152_20596	Streptomyces sp. KL115B	Streptomyces	#3333FF	Calakmul	#FFFF00	1.1	12587..13030	12587	13030	-	Other	#191970					showdomycin	47	complete	884	orphan	
fig|6666666.883305.peg.4129	cds3484294_3484738	Streptomyces cavernau (antesactinokineospora)	Streptomyces	#3333FF			3.15	2355..2798	2355	2798	+	Other	#191970					showdomycin	47	complete	854	orphan	
BGC0001778_KKZ73240.1	MarR_family_transcriptional_regulator	Streptomyces showdoensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001778	10377..10832	10377	10832	+	Other	#191970					showdomycin	100			orphan	
fig|6666666.871046.peg.2256	cds24738_25236	Streptomyces sp. CC228A	Streptomyces	#3333FF	CuatroCienegas	#66FF66	7.1	2237..2734	2237	2734	+	Other	#191970					showdomycin	52	complete	1011	orphan	
BGC0001445_EED49872.1	O-methyltransferase,_putative	Aspergillus flavus NRRL3357	Aspergillus	#CC00FF	MIBiG	#0676BE	BGC0001445	30227..31620	30227	31620	+	NRP	#2E8B57	Polyketide	#F4A460			leporin B	100			orphan	
fig|6666666.867955.peg.1333	cds1449361_1449814	Brevibacterium sp.	Brevibacterium	#FF6699	Chile	#FF6600	1.3	2374..2826	2374	2826	-	Terpene	#800080					carotenoid	57	complete	867	orphan	
BGC0000445_CAJ34385.1	putative_MarR_family_regulator	Micromonospora sp. ML1	Micromonospora	#FFFF66	MIBiG	#0676BE	BGC0000445	57895..58470	57895	58470	+	NRP	#2E8B57					thiocoraline	100			orphan	
BGC0000703_BAE95451.1	hypothetical_protein	Streptomyces kanamyceticus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000703	49089..49481	49089	49481	-	Saccharide	#FF7D25					kanamycin	100			orphan	
BGC0000093_ADC45558.1	transcriptional_regulator	Streptomyces nanchangensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000093	119490..120278	119490	120278	-	Polyketide	#F4A460					meilingmycin	100			orphan	
BGC0002016_PPQ57492.1	ketoacyl_reductase	Streptomyces sp. QL37	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0002016	12555..13340	12555	13340	+	Polyketide	#F4A460					lugdunomycin	100			orphan	
fig|6666666.737888.peg.5073	cds336786_337572	Streptomyces sp. CC219B	Streptomyces	#3333FF	CuatroCienegas	#66FF66	60.3	33218..34003	33218	34003	-	Polyketide	#F4A460	RiPP	#4169E1			LL-D49194Î±1 (LLD)	18	complete	2174	orphan	
BGC0001387_AMP46609.1	putative_histidine_kinase	Streptomyces calvus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001387	24029..24646	24029	24646	-	Other	#191970					nucleocidin	100			orphan	
fig|6666666.871046.peg.5960	cds253021_254230	Streptomyces sp. CC228A	Streptomyces	#3333FF	CuatroCienegas	#66FF66	1.3	55815..57023	55815	57023	-	NRP	#2E8B57					dechlorocuracomycin	20	complete	495	orphan	
BGC0002016_PPQ57483.1	hypothetical_protein	Streptomyces sp. QL37	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0002016	1585..2253	1585	2253	-	Polyketide	#F4A460					lugdunomycin	100			orphan	
fig|6666666.871044.peg.4203	cds366712_369790	Streptomyces sp. CC210A	Streptomyces	#3333FF	CuatroCienegas	#66FF66	9.1	33810..36887	33810	36887	+	NRP	#2E8B57					thiolutin	36	complete	1178	orphan	
BGC0001902_AJY78081.1	putative_regulator	Myxococcus virescens	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001902	2279..2959	2279	2959	+	NRP	#2E8B57	Polyketide	#F4A460			bengamide	100			orphan	
fig|6666666.590942.peg.3227	cds21776_22454	Actinokineospora sp.	Actinokineospora	#FFFFFF			20.1	19472..20149	19472	20149	-	NRP	#2E8B57					dynemicin A	3	complete	752	orphan	
BGC0001532_ATY37601.1	BogN	Brevibacillus laterosporus	Brevibacillus	#6600CC	MIBiG	#0676BE	BGC0001532	58028..58234	58028	58234	+	NRP	#2E8B57					bogorol A	100			orphan	
fig|56099.17.peg.447	cds255915_256947	Lentzea sp. cc55	Lentzea	#D60093	CuatroCienegas	#66FF66	10.2	50..1081	50	1081	-	Terpene	#800080					isorenieratene	75	complete	831	orphan	
BGC0001442_ATJ33995.1	LacI_family_transcription_regulator	Streptomyces sp. strain ATCC 14903	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001442	1..1017	1	1017	+	NRP	#2E8B57					actinonin	100			orphan	
