ID	gene	Organism	Genus	Genus__colour	Source	Source__colour	Accesion/Region	Position	start	end	Strand	Class1	Class1__colour	Class2	Class2__colour	Class3	Class3__colour	Product	Similarity	completeness	distance	TCS	TCS_gene	Pfam
BGC0000297_CAM59604.1	hypothetical_protein	Planktothrix agardhii NIVA-CYA 126	Planktothrix	#336699	MIBiG	#0676BE	BGC0000297	15822..16463	15822	16463	+	NRP	#2E8B57	Polyketide	#F4A460	Saccharide	#FF7D25	aeruginoside 126B/aeruginoside 126A	100			orphan	
BGC0001588_WP_004189279.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia pseudomallei 1026b	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001588	4202..5011	4202	5011	-	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001589_WP_006494985.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia cenocepacia J2315	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001589	29082..29864	29082	29864	+	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001589_WP_043033125.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia cenocepacia J2315	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001589	27379..28119	27379	28119	-	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001588_WP_004189328.1	Crp/Fnr_family_transcriptional_regulator	Burkholderia pseudomallei 1026b	Burkholderia	#FFCCFF	MIBiG	#0676BE	BGC0001588	5935..6729	5935	6729	+	Saccharide	#FF7D25					exopolysaccharides	100			orphan	
BGC0001692_WP_010845797.1	FNR_family_transcription_factor	Xenorhabdus nematophila ATCC 19061	Xenorhabdus	#FF00FF	MIBiG	#0676BE	BGC0001692	30991..31755	30991	31755	-	NRP	#2E8B57					nematophin	100			orphan	
BGC0001823_ATY69606.1	Crp/Fnr/Fnr_family_transcriptional_regulator	Streptomyces sp. CB02120-2	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001823	5414..6073	5414	6073	-	NRP	#2E8B57	Polyketide	#F4A460			weishanmycin	100			orphan	
BGC0001611_ATY69575.1	Crp/Fnr_family_transcriptional_regulator	Streptomyces sp. CB01883	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001611	64119..64808	64119	64808	-	NRP	#2E8B57	Polyketide	#F4A460			guangnanmycin	100			orphan	
BGC0001101_AAN85528.1	putative_transcriptional_activator	Streptomyces atroolivaceus	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0001101	108395..109078	108395	109078	+	NRP	#2E8B57	Polyketide	#F4A460			leinamycin	100			orphan	
fig|6666666.540227.peg.3170	cds534283_535006	Nocardia sp. CC227C	Nocardia	#66FF66	CuatroCienegas	#66FF66	37.4	15980..16702	15980	16702	-	Terpene	#800080						0	complete	663	orphan	
BGC0001421_APZ78733.1	cyclic_nucleotide-binding_protein	Myxococcus sp.	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001421	43960..45150	43960	45150	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide B	100			orphan	
BGC0001421_orf7	cyclic_nucleotide-binding_protein	Myxococcus sp.	Myxococcus	#FFCCCC	MIBiG	#0676BE	BGC0001421	43960..45150	43960	45150	-	NRP	#2E8B57	Polyketide	#F4A460			myxochromide B	100			orphan	
